x,y,z,p
-0.0104698,0.299817,-3.46945e-18,2.06219
-0.0074582,0.299622,6.93889e-19,1.94256
0.0136234,0.298255,2.77556e-18,1.21852
0.016635,0.298059,5.55112e-18,1.11001
0.0196467,0.297864,6.47606e-18,1.01015
0.02567,0.297473,3.46945e-18,0.917381
0.0286817,0.297278,-7.18684e-19,0.841398
0.0316933,0.297083,4.16334e-18,0.841398
0.034705,0.296888,2.77556e-18,0.772116
0.0377166,0.296692,-3.90522e-19,0.705213
0.0407283,0.296497,-3.46945e-18,0.705213
0.0437399,0.296302,-1.66315e-18,0.653482
0.0467516,0.296106,3.46945e-18,0.653482
0.0497632,0.295911,8.32667e-18,0.607864
0.0618098,0.29513,-2.08167e-18,0.526255
0.0648215,0.294934,-3.00841e-18,0.507046
0.0678332,0.294739,-4.85723e-18,0.507046
0.0708448,0.294544,-4.25342e-18,0.476297
0.0768681,0.294153,1.16573e-18,0.450761
0.0798798,0.293958,6.93889e-19,0.450761
0.0828914,0.293763,-3.92791e-18,0.449211
0.0859031,0.293567,1.38778e-18,0.449211
0.0889147,0.293372,1.45269e-18,0.445286
0.0919264,0.293177,-4.16334e-18,0.445286
0.094938,0.292981,-7.76222e-18,0.433665
0.0979497,0.292786,-6.245e-18,0.433665
0.106985,0.2922,5.99086e-18,0.436414
0.109996,0.292005,1.38778e-18,0.436414
0.113008,0.291809,-3.13903e-18,0.449821
0.122043,0.291223,-3.46945e-18,0.456301
0.125055,0.291028,-7.75821e-19,0.459566
0.128066,0.290833,-3.44158e-18,0.459566
0.131078,0.290637,-3.46945e-18,0.459566
0.13409,0.290442,-4.32931e-18,0.469362
0.137101,0.290247,-6.245e-18,0.469362
0.140113,0.290052,-7.34143e-18,0.49483
0.143125,0.289856,-2.77556e-18,0.49483
0.146136,0.289661,-5.9427e-27,0.49483
0.149148,0.289466,-1.0144e-18,0.515657
0.152159,0.28927,-2.08167e-18,0.515657
0.155171,0.289075,-5.30738e-18,0.529295
0.158183,0.28888,-8.32667e-18,0.529295
0.161194,0.288684,-3.46945e-18,0.529295
0.164206,0.288489,-6.46055e-18,0.545091
0.167218,0.288294,-9.02056e-18,0.545091
0.170229,0.288098,-5.10617e-18,0.5668
0.173241,0.287903,-5.53509e-18,0.5668
0.176253,0.287708,-3.46945e-18,0.5668
0.179264,0.287512,-4.0377e-18,0.595389
0.182276,0.287317,-5.55112e-18,0.595389
0.185288,0.287122,-6.93889e-19,0.595389
0.188299,0.286927,-1.50429e-18,0.61972
0.191311,0.286731,4.16334e-18,0.61972
0.194323,0.286536,2.06914e-18,0.632944
0.197334,0.286341,4.74581e-18,0.632944
0.200346,0.286145,6.245e-18,0.632944
0.203358,0.28595,4.72462e-18,0.645936
0.206369,0.285755,4.8461e-19,0.645936
0.215404,0.285169,4.09703e-18,0.659147
0.218416,0.284973,3.46945e-18,0.659147
0.221428,0.284778,6.76669e-18,0.665069
0.224439,0.284583,4.47778e-18,0.665069
0.227451,0.284387,1.38778e-18,0.665069
0.230462,0.284192,1.98394e-18,0.668715
0.233474,0.283997,4.05255e-18,0.668715
0.236486,0.283801,5.55112e-18,0.668715
0.239497,0.283606,3.46945e-18,0.668715
0.242509,0.283411,9.103e-19,0.674416
0.245521,0.283216,6.93889e-19,0.674416
0.248532,0.28302,2.77556e-18,0.674416
0.251544,0.282825,1.15282e-17,0.681834
0.254556,0.28263,1.17961e-17,0.681834
0.263591,0.282044,-8.26383e-19,0.683034
0.266602,0.281848,-2.77556e-18,0.683034
0.269614,0.281653,-9.75345e-18,0.681955
0.272626,0.281458,-1.22904e-17,0.681955
0.275637,0.281262,-7.63278e-18,0.681955
0.296719,0.279895,4.16334e-18,0.682419
0.299731,0.2797,1.38778e-18,0.682419
0.302742,0.279505,3.77695e-19,0.688643
0.305754,0.279309,1.53776e-18,0.688643
0.308765,0.279114,-6.93889e-19,0.688643
0.311777,0.278919,-1.11127e-26,0.688643
0.314789,0.278723,2.60159e-18,0.692564
0.3178,0.278528,3.34517e-18,0.692564
0.320812,0.278333,3.46945e-18,0.692564
0.323824,0.278137,-8.33878e-27,0.692564
0.326835,0.277942,2.12185e-18,0.694042
0.329847,0.277747,-1.36784e-18,0.694042
0.35394,0.276184,2.77556e-18,0.698284
0.356952,0.275989,5.55112e-18,0.698284
0.359964,0.275794,8.32667e-18,0.698284
0.362975,0.275598,6.2869e-18,0.698714
0.365987,0.275403,7.87604e-18,0.698714
0.368999,0.275208,4.85723e-18,0.698714
0.37201,0.275012,6.93889e-18,0.698714
0.375022,0.274817,1.12681e-17,0.697754
0.378034,0.274622,1.06174e-17,0.697754
0.381045,0.274426,9.71445e-18,0.697754
0.384057,0.274231,1.11022e-17,0.697754
0.387068,0.274036,7.97963e-18,0.69554
0.39008,0.27384,3.70098e-18,0.69554
0.393092,0.273645,-3.44691e-28,0.69554
0.402127,0.273059,-2.81455e-18,0.694067
0.405138,0.272864,-5.45228e-18,0.694067
0.40815,0.272669,-7.63278e-18,0.694067
0.411162,0.272473,-9.71445e-18,0.694067
0.414173,0.272278,-5.28885e-18,0.693093
0.417185,0.272083,-9.19166e-18,0.693093
0.420197,0.271887,-8.32667e-18,0.693093
0.423208,0.271692,-7.63278e-18,0.693093
0.42622,0.271497,-4.93871e-18,0.692196
