x,y,z,p
3,0,5.55112e-18,0.64372
2.997,-0.0003003,6.93889e-19,0.629382
2.98198,-0.0018018,6.245e-18,0.629359
2.97898,-0.0021021,7.68618e-18,0.629354
2.97598,-0.0024024,7.63278e-18,0.629354
2.97297,-0.0027027,2.08167e-18,0.629349
2.96997,-0.003003,2.31272e-18,0.629341
2.95796,-0.0042042,3.46945e-18,0.629321
2.93994,-0.00600601,4.16334e-18,0.629287
2.93694,-0.00630631,6.65059e-18,0.629276
2.93393,-0.00660661,1.11022e-17,0.629276
2.93093,-0.00690691,1.04552e-17,0.629264
2.92793,-0.00720721,9.02056e-18,0.629264
2.92492,-0.00750751,9.82854e-18,0.629253
2.91892,-0.00810811,-2.17175e-18,0.629241
2.91592,-0.00840841,-3.46945e-18,0.629241
2.91291,-0.00870871,-7.50788e-18,0.62923
2.9039,-0.00960961,2.08167e-18,0.629217
2.9009,-0.00990991,1.45269e-18,0.629205
2.8979,-0.0102102,4.16334e-18,0.629205
2.88288,-0.0117117,-3.0297e-18,0.629156
2.87988,-0.012012,-5.55112e-18,0.629156
2.87688,-0.0123123,-8.69014e-18,0.629143
2.87387,-0.0126126,-8.32667e-18,0.629143
2.87087,-0.0129129,-8.05366e-18,0.629131
2.86787,-0.0132132,-1.11022e-17,0.629131
2.86486,-0.0135135,-1.53475e-17,0.62912
2.86186,-0.0138138,-1.53244e-17,0.62912
2.85285,-0.0147147,-4.85723e-18,0.629108
2.84985,-0.015015,-8.03532e-18,0.629096
2.84685,-0.0153153,-1.04083e-17,0.629096
2.84384,-0.0156156,-4.16334e-18,0.629096
2.84084,-0.0159159,-7.95329e-18,0.629087
2.83183,-0.0168168,-1.38778e-18,0.629082
2.82883,-0.0171171,1.38778e-18,0.629082
2.82583,-0.0174174,6.3764e-18,0.629082
2.82282,-0.0177177,2.77556e-18,0.629082
2.81982,-0.018018,5.99606e-18,0.629082
2.81682,-0.0183183,6.86818e-18,0.629082
2.81381,-0.0186186,1.04083e-17,0.629082
2.81081,-0.0189189,9.49314e-18,0.62908
2.80781,-0.0192192,9.02056e-18,0.62908
2.78979,-0.021021,-2.08167e-18,0.629074
