x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.29183e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.47213e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.30111e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.69828e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.11123e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.06844e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.41729e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75964e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.45646e-16,0
-2.46817,-0.881573,1.077e-17,3,1.29791e-16,0
-2.46817,-0.775969,1.077e-17,3,4.29244e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.69507e-17,0
-2.46817,-0.577164,1.29384e-17,3,-1.08938e-17,0
-2.46817,-0.483637,1.12037e-17,3,-1.05493e-16,0
-2.46817,-0.393821,1.12037e-17,3,-9.55028e-17,0
-2.46817,-0.307568,1.12037e-17,3,-5.36387e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.79098e-16,0
-2.46817,-0.145193,8.94852e-18,3,2.00802e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.30743e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82466e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.06261e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.2199e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.96902e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.04805e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.62738e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.37949e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.42619e-16,0
-2.46817,0.495785,6.43317e-18,3,-1.8726e-16,0
-2.46817,0.546744,5.13213e-18,3,1.19839e-16,0
-2.46817,0.59568,2.79026e-18,3,3.46284e-16,0
-2.46817,0.642675,2.44331e-18,3,4.93914e-16,0
-2.46817,0.687805,3.1372e-18,3,4.76154e-16,0
-2.46817,0.731145,3.83109e-18,3,2.73662e-16,0
-2.46817,0.772765,5.65255e-18,3,9.48681e-18,0
-2.46817,0.812735,6.08623e-18,3,-4.35478e-16,0
