x,y,z,p
-3,-2.37483e-19,-6.55379e-18,1
-3,0,0,1.02815
-2.98498,0.0015015,1.38778e-18,1.07346
-2.98198,0.0018018,5.55112e-18,1.07346
-2.97898,0.0021021,1.00306e-17,1.12253
-2.97598,0.0024024,9.5975e-18,1.12253
-2.97297,0.0027027,9.71445e-18,1.12253
-2.96697,0.0033033,4.87007e-18,1.1742
-2.96396,0.0036036,1.38778e-18,1.1742
-2.96096,0.0039039,2.08167e-18,1.1742
-2.95796,0.0042042,4.75206e-18,1.22624
-2.95495,0.0045045,-2.18614e-18,1.22624
-2.95195,0.0048048,-2.77556e-18,1.22624
-2.93994,0.00600601,-2.77556e-18,1.28082
-2.93694,0.00630631,-1.38778e-18,1.28082
-2.93393,0.00660661,-1.38778e-18,1.28082
-2.93093,0.00690691,-5.41175e-18,1.33381
-2.92793,0.00720721,-2.03788e-18,1.33381
-2.92492,0.00750751,1.38778e-18,1.33381
-2.92192,0.00780781,6.93889e-19,1.33381
-2.91892,0.00810811,-2.31068e-18,1.38945
-2.91592,0.00840841,-6.3608e-18,1.38945
-2.91291,0.00870871,-6.245e-18,1.38945
-2.8979,0.0102102,-4.16334e-18,1.4418
-2.89489,0.0105105,-2.77556e-18,1.4418
-2.89189,0.0108108,-4.85723e-18,1.4418
-2.88889,0.0111111,-2.80675e-19,1.49508
-2.88589,0.0114114,-2.5314e-18,1.49508
-2.88288,0.0117117,-1.16379e-20,1.49508
-2.87988,0.012012,2.08167e-18,1.49508
-2.87688,0.0123123,6.93889e-19,1.49508
-2.87387,0.0126126,2.00142e-18,1.54451
-2.87087,0.0129129,2.90278e-18,1.54451
-2.86787,0.0132132,3.63066e-18,1.54451
-2.76577,0.0234234,-4.16334e-18,1.71828
-2.76276,0.0237237,-2.77556e-18,1.71828
-2.75976,0.024024,-2.08167e-18,1.71828
-2.75676,0.0243243,-6.93889e-19,1.71828
-2.75375,0.0246246,1.98575e-18,1.72293
-2.75075,0.0249249,-1.13113e-18,1.72293
-2.74775,0.0252252,6.09215e-19,1.72293
-2.74474,0.0255255,2.34956e-18,1.72293
-2.71772,0.0282282,7.16511e-18,1.71517
-2.71471,0.0285285,1.04083e-17,1.71517
-2.71171,0.0288288,9.02056e-18,1.71517
-2.70871,0.0291291,1.11022e-17,1.71517
-2.70571,0.0294294,9.71445e-18,1.71517
-2.7027,0.0297297,6.0864e-18,1.69365
-2.6997,0.03003,6.47698e-18,1.69365
-2.6967,0.0303303,4.7859e-18,1.69365
-2.69369,0.0306306,4.82953e-18,1.69365
-2.69069,0.0309309,5.5779e-18,1.69365
-2.68769,0.0312312,9.71445e-18,1.69365
-2.68468,0.0315315,9.02056e-18,1.69365
-2.68168,0.0318318,1.17961e-17,1.69365
-2.67868,0.0321321,1.45717e-17,1.69365
-2.67568,0.0324324,1.37714e-17,1.65632
-2.67267,0.0327327,1.76489e-17,1.65632
-2.66967,0.033033,1.87507e-17,1.65632
-2.66667,0.0333333,2.14138e-17,1.65632
-2.66366,0.0336336,1.85258e-17,1.65632
-2.66066,0.0339339,2.22045e-17,1.65632
-2.65766,0.0342342,2.35922e-17,1.65632
-2.65465,0.0345345,2.15106e-17,1.65632
-2.65165,0.0348348,2.28983e-17,1.65632
-2.64865,0.0351351,2.42861e-17,1.65632
-2.64565,0.0354354,1.2087e-18,1.60714
-2.64264,0.0357357,2.45286e-19,1.60714
-2.63964,0.036036,-1.41202e-18,1.60714
-2.63664,0.0363363,-3.76321e-18,1.60714
-2.5976,0.0402402,-1.38778e-18,1.56106
-2.59459,0.0405405,-9.47857e-28,1.56106
-2.59159,0.0408408,-1.38778e-18,1.56106
-2.58859,0.0411411,-2.77556e-18,1.56106
-2.58559,0.0414414,-4.16334e-18,1.56106
-2.58258,0.0417417,-2.1876e-18,1.53539
-2.57958,0.042042,-5.20266e-18,1.53539
-2.57658,0.0423423,-3.01356e-18,1.53539
-2.57357,0.0426426,-4.2939e-18,1.53539
-2.57057,0.0429429,-2.27827e-18,1.53539
-2.52853,0.0471471,-4.16334e-18,1.52322
-2.52553,0.0474474,-2.77556e-18,1.52322
-2.52252,0.0477477,-1.38778e-18,1.52322
-2.51952,0.048048,-2.18862e-27,1.52322
-2.51652,0.0483483,1.38778e-18,1.52322
-2.51351,0.0486486,-6.93889e-19,1.52322
-2.51051,0.0489489,1.96243e-18,1.51308
-2.50751,0.0492492,1.7496e-18,1.51308
-2.5045,0.0495495,5.00621e-18,1.51308
-2.5015,0.0498498,2.71171e-18,1.51308
-2.4985,0.0501502,5.96833e-18,1.51308
-2.4955,0.0504505,4.02077e-18,1.51308
-2.49249,0.0507508,4.16334e-18,1.51308
-2.48949,0.0510511,2.08167e-18,1.51308
-2.48649,0.0513514,4.16334e-18,1.51308
-2.48348,0.0516517,2.77556e-18,1.51308
-2.48048,0.051952,6.93889e-19,1.51308
-2.47748,0.0522523,-6.93889e-19,1.51308
-2.47447,0.0525526,1.38778e-18,1.51308
-2.47147,0.0528529,1.97751e-18,1.50865
-2.46847,0.0531532,-3.04793e-19,1.50865
-2.46547,0.0534535,8.82356e-19,1.50865
-2.46246,0.0537538,-1.39994e-18,1.50865
-2.45946,0.0540541,-1.94752e-18,1.50865
-2.45646,0.0543544,-4.75023e-18,1.50865
-2.45345,0.0546547,-5.34117e-18,1.50865
-2.45045,0.054955,-3.46945e-18,1.50865
-2.44745,0.0552553,-2.77556e-18,1.50865
-2.44444,0.0555556,-5.55112e-18,1.50865
-2.44144,0.0558559,-8.32667e-18,1.50865
-2.43844,0.0561562,-1.11022e-17,1.50865
-2.43544,0.0564565,-1.45717e-17,1.50865
-2.43243,0.0567568,-1.38778e-17,1.50865
-2.42943,0.0570571,-1.47012e-17,1.50986
-2.42643,0.0573574,-1.55842e-17,1.50986
-2.42342,0.0576577,-1.36917e-17,1.50986
-2.42042,0.057958,-9.71749e-18,1.50986
-2.41742,0.0582583,-9.21273e-18,1.50986
-2.41441,0.0585586,-7.8406e-18,1.50986
-2.41141,0.0588589,-6.0348e-18,1.50986
-2.40841,0.0591592,-2.77556e-18,1.50986
-2.40541,0.0594595,-6.93889e-18,1.50986
-2.4024,0.0597598,-4.16334e-18,1.50986
-2.3994,0.0600601,-6.93889e-18,1.50986
-2.3964,0.0603604,-4.16334e-18,1.50986
-2.39339,0.0606607,-4.85723e-18,1.50986
-2.39039,0.060961,-5.55112e-18,1.50986
-2.38739,0.0612613,-1.67127e-21,1.51356
-2.38438,0.0615616,-2.26162e-18,1.51356
-2.38138,0.0618619,-1.05213e-18,1.51356
-2.37838,0.0621622,-2.61819e-18,1.51356
-2.37538,0.0624625,-1.4087e-18,1.51356
-2.37237,0.0627628,-3.66865e-18,1.51356
-2.36937,0.0630631,-3.15305e-18,1.51356
-2.36637,0.0633634,-2.63744e-18,1.51356
-2.36336,0.0636637,-6.245e-18,1.51356
-2.36036,0.063964,-1.38778e-18,1.51356
-2.35736,0.0642643,-7.14475e-28,1.51356
-2.35435,0.0645646,6.93889e-19,1.51356
-2.35135,0.0648649,5.55112e-18,1.51356
-2.32132,0.0678679,3.25427e-18,1.51974
-2.31832,0.0681682,2.73927e-18,1.51974
-2.31532,0.0684685,2.77556e-18,1.51974
-2.31231,0.0687688,4.85723e-18,1.51974
-2.30931,0.0690691,6.93889e-19,1.51974
-2.30631,0.0693694,3.46945e-18,1.51974
-2.3033,0.0696697,2.77556e-18,1.51974
-2.3003,0.06997,-1.38778e-18,1.51974
-2.2973,0.0702703,-2.08167e-18,1.51974
-2.29429,0.0705706,-2.77556e-18,1.51974
-2.29129,0.0708709,-4.16334e-18,1.51974
-2.28829,0.0711712,-5.69786e-18,1.52432
-2.28529,0.0714715,-7.93796e-18,1.52432
-2.28228,0.0717718,-6.70861e-18,1.52432
-2.27928,0.0720721,-1.06834e-17,1.52432
-2.27628,0.0723724,-9.80102e-18,1.52432
-2.27327,0.0726727,-1.06533e-17,1.52432
-2.27027,0.072973,-1.15057e-17,1.52432
-2.10511,0.0894895,-2.19823e-18,1.52349
-2.1021,0.0897898,-1.98399e-18,1.52349
-2.0991,0.0900901,-3.15754e-18,1.52349
-2.0961,0.0903904,-2.24942e-18,1.52349
-2.09309,0.0906907,-4.16022e-18,1.52349
-2.09009,0.090991,-1.38778e-18,1.52349
-2.08709,0.0912913,-2.77556e-18,1.52349
-2.08408,0.0915916,-2.08167e-18,1.52349
-2.08108,0.0918919,-3.46945e-18,1.52349
-2.07808,0.0921922,-1.38778e-18,1.52349
-2.07508,0.0924925,-2.77556e-18,1.52349
-2.07207,0.0927928,-4.16334e-18,1.52349
-2.06907,0.0930931,-5.55112e-18,1.52349
-2.06607,0.0933934,-6.93889e-18,1.52349
-2.06306,0.0936937,-8.32667e-18,1.52349
-2.06006,0.093994,-9.04466e-18,1.52538
-2.05706,0.0942943,-9.86365e-18,1.52538
-2.05405,0.0945946,-9.98876e-18,1.52538
-2.05105,0.0948949,-8.03219e-18,1.52538
-2.04805,0.0951952,-8.50424e-18,1.52538
-2.04505,0.0954955,-7.24156e-18,1.52538
-2.04204,0.0957958,-9.10139e-18,1.52538
-2.03904,0.0960961,-1.26959e-17,1.52538
-2.03604,0.0963964,-1.19537e-17,1.52538
-2.03303,0.0966967,-1.46809e-17,1.52538
-2.03003,0.096997,-1.35917e-17,1.52538
-2.02703,0.0972973,-1.66533e-17,1.52538
-2.02402,0.0975976,-1.11022e-17,1.52538
-2.02102,0.0978979,-1.249e-17,1.52538
-2.01802,0.0981982,-1.04083e-17,1.52538
-2.01502,0.0984985,-4.85723e-18,1.52538
-2.01201,0.0987988,-2.77556e-18,1.52538
-2.00901,0.0990991,-1.38778e-18,1.52538
-2.00601,0.0993994,-2.77556e-18,1.52538
-2.003,0.0996997,-6.93889e-19,1.52538
-2,0.1,1.38778e-18,1.52538
-1.997,0.1003,3.46945e-18,1.52538
-1.99399,0.100601,-4.85799e-18,1.52929
-1.99099,0.100901,-2.20036e-18,1.52929
-1.98799,0.101201,-4.39996e-18,1.52929
-1.98498,0.101502,-3.13011e-18,1.52929
-1.98198,0.101802,-5.32971e-18,1.52929
-1.97898,0.102102,-3.36597e-18,1.52929
-1.97598,0.102402,-5.56557e-18,1.52929
-1.97297,0.102703,-5.6835e-18,1.52929
-1.96997,0.103003,-7.53615e-18,1.52929
-1.96697,0.103303,-9.38881e-18,1.52929
-1.96396,0.103604,-1.03741e-17,1.52929
-1.96096,0.103904,-1.14461e-17,1.52929
-1.95796,0.104204,-1.31839e-17,1.52929
-1.95495,0.104505,-9.71445e-18,1.52929
-1.95195,0.104805,-9.71445e-18,1.52929
-1.94895,0.105105,-9.71445e-18,1.52929
-1.94595,0.105405,-9.71445e-18,1.52929
-1.94294,0.105706,-6.245e-18,1.52929
-1.93994,0.106006,-2.77556e-18,1.52929
-1.93694,0.106306,-2.77556e-18,1.52929
-1.93393,0.106607,6.93889e-19,1.52929
-1.93093,0.106907,6.93889e-19,1.52929
-1.92793,0.107207,6.93889e-19,1.52929
-1.92492,0.107508,4.16334e-18,1.52929
-1.92192,0.107808,4.80487e-18,1.53263
-1.91892,0.108108,3.99981e-18,1.53263
-1.91592,0.108408,1.11309e-18,1.53263
-1.91291,0.108709,-3.85861e-19,1.53263
-1.90991,0.109009,-4.9703e-19,1.53263
-1.90691,0.109309,-3.03681e-18,1.53263
-1.9039,0.10961,-5.57659e-18,1.53263
-1.9009,0.10991,-9.8511e-18,1.53263
-1.8979,0.11021,-8.92144e-18,1.53263
-1.89489,0.110511,-1.31959e-17,1.53263
-1.89189,0.110811,-1.66031e-17,1.53263
-1.88889,0.111111,-2.05306e-17,1.53263
-1.88589,0.111411,-1.63131e-17,1.53263
-1.88288,0.111712,-1.45717e-17,1.53263
-1.87988,0.112012,-1.45717e-17,1.53263
-1.87688,0.112312,-1.80411e-17,1.53263
-1.87387,0.112613,-1.52656e-17,1.53263
-1.87087,0.112913,-2.22045e-17,1.53263
-1.86787,0.113213,-2.22045e-17,1.53263
-1.86486,0.113514,-2.22045e-17,1.53263
-1.86186,0.113814,-2.22045e-17,1.53263
-1.85886,0.114114,-2.42861e-17,1.53263
-1.85586,0.114414,-2.77556e-17,1.53263
-1.85285,0.114715,-2.77556e-17,1.53263
-1.84985,0.115015,-2.77556e-17,1.53263
-1.84685,0.115315,-3.12778e-17,1.5331
-1.84384,0.115616,-3.27704e-17,1.5331
-1.84084,0.115916,-3.07935e-17,1.5331
-1.83784,0.116216,-3.22861e-17,1.5331
-1.83483,0.116517,-3.03092e-17,1.5331
-1.83183,0.116817,-3.18018e-17,1.5331
-1.82883,0.117117,-2.91311e-17,1.5331
-1.82583,0.117417,-3.06236e-17,1.5331
-1.82282,0.117718,-3.24632e-17,1.5331
-1.81982,0.118018,-3.01393e-17,1.5331
-1.81682,0.118318,-2.98972e-17,1.5331
-1.81381,0.118619,-2.9655e-17,1.5331
-1.81081,0.118919,-3.37931e-17,1.5331
-1.80781,0.119219,-3.05311e-17,1.5331
-1.8048,0.11952,-3.40006e-17,1.5331
-1.8018,0.11982,-3.40006e-17,1.5331
-1.7988,0.12012,-3.40006e-17,1.5331
-1.7958,0.12042,-3.40006e-17,1.5331
-1.79279,0.120721,-3.40006e-17,1.5331
-1.78979,0.121021,-3.40006e-17,1.5331
-1.78679,0.121321,-3.26128e-17,1.5331
-1.78378,0.121622,-3.26128e-17,1.5331
-1.78078,0.121922,-3.26128e-17,1.5331
-1.77778,0.122222,-3.26128e-17,1.5331
-1.77477,0.122523,-3.26128e-17,1.5331
-1.77177,0.122823,-3.26128e-17,1.5331
-1.76877,0.123123,-3.0533e-17,1.5309
-1.76577,0.123423,-3.41012e-17,1.5309
-1.76276,0.123724,-3.42e-17,1.5309
-1.75976,0.124024,-3.77682e-17,1.5309
-1.75676,0.124324,-3.7867e-17,1.5309
-1.75375,0.124625,-3.79658e-17,1.5309
-1.75075,0.124925,-4.39627e-17,1.5309
-1.74775,0.125225,-4.0592e-17,1.5309
-1.74474,0.125526,-3.9303e-17,1.5309
-1.74174,0.125826,-3.8014e-17,1.5309
-1.73874,0.126126,-3.6725e-17,1.5309
-1.73574,0.126426,-3.5436e-17,1.5309
-1.73273,0.126727,-3.4147e-17,1.5309
-1.72973,0.127027,-3.26412e-17,1.5309
-1.72673,0.127327,-3.33146e-17,1.5309
-1.72372,0.127628,-3.1225e-17,1.5309
-1.72072,0.127928,-3.19189e-17,1.5309
-1.71772,0.128228,-3.19189e-17,1.5309
-1.71471,0.128529,-3.19189e-17,1.5309
-1.71171,0.128829,-2.84495e-17,1.5309
-1.70871,0.129129,-2.84495e-17,1.5309
-1.70571,0.129429,-2.498e-17,1.5309
-1.7027,0.12973,-2.84495e-17,1.5309
-1.6997,0.13003,-2.84495e-17,1.5309
-1.6967,0.13033,-2.84495e-17,1.5309
-1.69369,0.130631,-3.19189e-17,1.5309
-1.69069,0.130931,-3.19189e-17,1.5309
-1.68769,0.131231,-3.40006e-17,1.5309
-1.68468,0.131532,-3.40006e-17,1.5309
-1.68168,0.131832,-3.75559e-17,1.52748
-1.67868,0.132132,-3.97307e-17,1.52748
-1.67568,0.132432,-3.63544e-17,1.52748
-1.67267,0.132733,-3.78353e-17,1.52748
-1.66967,0.133033,-4.00101e-17,1.52748
-1.66667,0.133333,-4.21849e-17,1.52748
-1.66366,0.133634,-4.15841e-17,1.52748
-1.66066,0.133934,-4.51467e-17,1.52748
-1.65766,0.134234,-4.24643e-17,1.52748
-1.65465,0.134535,-4.15166e-17,1.52748
-1.65165,0.134835,-4.05688e-17,1.52748
-1.64865,0.135135,-3.87538e-17,1.52748
-1.64565,0.135435,-3.67652e-17,1.52748
-1.64264,0.135736,-3.57308e-17,1.52748
-1.63964,0.136036,-3.40006e-17,1.52748
-1.63664,0.136336,-3.40006e-17,1.52748
-1.63363,0.136637,-3.05311e-17,1.52748
-1.63063,0.136937,-3.05311e-17,1.52748
-1.62763,0.137237,-3.05311e-17,1.52748
-1.62462,0.137538,-2.70617e-17,1.52748
-1.62162,0.137838,-2.70617e-17,1.52748
-1.61862,0.138138,-2.70617e-17,1.52748
-1.61562,0.138438,-2.35922e-17,1.52748
-1.61261,0.138739,-2.70617e-17,1.52748
-1.60961,0.139039,-2.70617e-17,1.52748
-1.60661,0.139339,-2.70617e-17,1.52748
-1.6036,0.13964,-2.91434e-17,1.52748
-1.6006,0.13994,-2.91434e-17,1.52748
-1.5976,0.14024,-2.91434e-17,1.52748
-1.59459,0.140541,-3.05415e-17,1.52576
-1.59159,0.140841,-3.06292e-17,1.52576
-1.58859,0.141141,-3.34926e-17,1.52576
-1.58559,0.141441,-3.28865e-17,1.52576
-1.58258,0.141742,-3.22804e-17,1.52576
-1.57958,0.142042,-3.16743e-17,1.52576
-1.57658,0.142342,-3.28029e-17,1.52576
-1.57357,0.142643,-3.21968e-17,1.52576
-1.57057,0.142943,-3.19376e-17,1.52576
-1.56757,0.143243,-2.99437e-17,1.52576
-1.56456,0.143544,-2.93376e-17,1.52576
-1.56156,0.143844,-2.33539e-17,1.52576
-1.55856,0.144144,-2.53499e-17,1.52576
-1.55556,0.144444,-2.43968e-17,1.52576
-1.55255,0.144745,-2.31836e-17,1.52576
-1.54955,0.145045,-2.21872e-17,1.52576
-1.54655,0.145345,-2.08167e-17,1.52576
-1.54354,0.145646,-2.08167e-17,1.52576
-1.54054,0.145946,-1.73472e-17,1.52576
-1.53754,0.146246,-1.73472e-17,1.52576
-1.53453,0.146547,-1.38778e-17,1.52576
-1.53153,0.146847,-1.45717e-17,1.52576
-1.52853,0.147147,-1.45717e-17,1.52576
-1.52553,0.147447,-1.11022e-17,1.52576
-1.52252,0.147748,-1.11022e-17,1.52576
-1.51952,0.148048,-1.45717e-17,1.52576
-1.51652,0.148348,-1.66533e-17,1.52576
-1.51351,0.148649,-1.66533e-17,1.52576
-1.51051,0.148949,-2.01228e-17,1.52576
-1.50751,0.149249,-2.01228e-17,1.52576
-1.5045,0.14955,-2.01228e-17,1.52576
-1.5015,0.14985,-2.35922e-17,1.52576
-1.4985,0.15015,-2.14667e-17,1.52699
-1.4955,0.15045,-2.20728e-17,1.52699
-1.49249,0.150751,-1.92094e-17,1.52699
-1.48949,0.151051,-1.91217e-17,1.52699
-1.48649,0.151351,-1.97278e-17,1.52699
-1.48348,0.151652,-1.68644e-17,1.52699
-1.48048,0.151952,-1.57358e-17,1.52699
-1.47748,0.152252,-1.46072e-17,1.52699
-1.47447,0.152553,-1.62541e-17,1.52699
-1.47147,0.152853,-1.89419e-17,1.52699
-1.46847,0.153153,-1.9201e-17,1.52699
-1.46547,0.153453,-2.03276e-17,1.52699
-1.46246,0.153754,-2.23215e-17,1.52699
-1.45946,0.154054,-2.43153e-17,1.52699
-1.45646,0.154354,-2.59623e-17,1.52699
-1.45345,0.154655,-2.63299e-17,1.52699
-1.45045,0.154955,-2.64285e-17,1.52699
-1.44745,0.155255,-2.58224e-17,1.52699
-1.44444,0.155556,-2.52163e-17,1.52699
-1.44144,0.155856,-2.80796e-17,1.52699
-1.43844,0.156156,-2.74735e-17,1.52699
-1.43544,0.156456,-3.03368e-17,1.52699
-1.43243,0.156757,-2.97307e-17,1.52699
-1.42943,0.157057,-2.91246e-17,1.52699
-1.42643,0.157357,-2.88655e-17,1.52699
-1.42342,0.157658,-2.82594e-17,1.52699
-1.42042,0.157958,-2.9041e-17,1.52699
-1.41742,0.158258,-2.93023e-17,1.52699
-1.41441,0.158559,-2.54002e-17,1.52699
-1.41141,0.158859,-2.49676e-17,1.52699
-1.40841,0.159159,-2.46651e-17,1.52699
-1.40541,0.159459,-2.42812e-17,1.52699
-1.4024,0.15976,-2.90612e-17,1.5302
-1.3994,0.16006,-3.03558e-17,1.5302
-1.3964,0.16036,-3.16505e-17,1.5302
-1.39339,0.160661,-2.94757e-17,1.5302
-1.39039,0.160961,-3.35459e-17,1.5302
-1.38739,0.161261,-3.41467e-17,1.5302
-1.38438,0.161562,-3.54413e-17,1.5302
-1.38138,0.161862,-3.46543e-17,1.5302
-1.37838,0.162162,-3.5602e-17,1.5302
-1.37538,0.162462,-3.79375e-17,1.5302
-1.37237,0.162763,-4.14873e-17,1.5302
