x,y,z,p
-0.0157008,0.299589,-1.38778e-18,2.24733
-0.00364237,0.299018,-1.8582e-19,1.60405
-0.000627767,0.298875,-8.39254e-27,1.60405
0.00238684,0.298733,2.77556e-18,1.45795
0.00540144,0.29859,-2.02827e-18,1.32783
0.00841605,0.298447,-6.93889e-18,1.32783
0.0114306,0.298304,-4.16334e-18,1.207
0.0144453,0.298162,-8.09781e-19,1.10241
0.0265037,0.297591,2.77556e-18,0.916971
0.0476059,0.296592,3.87504e-18,0.627846
0.0506205,0.296449,7.63278e-18,0.627846
0.0626789,0.295878,4.16334e-18,0.546391
0.0656935,0.295735,9.10395e-18,0.535135
0.0687081,0.295593,9.71445e-18,0.535135
0.0807665,0.295022,-1.75492e-27,0.495111
0.0958396,0.294308,-5.12099e-18,0.497653
0.0988542,0.294165,-6.245e-18,0.497653
0.101869,0.294023,-1.03155e-17,0.497388
0.104883,0.29388,-1.17961e-17,0.497388
0.107898,0.293737,-1.52821e-17,0.499285
0.110913,0.293594,-1.73472e-17,0.499285
0.116942,0.293309,2.08167e-18,0.510683
0.119956,0.293166,1.99974e-18,0.535779
0.122971,0.293024,1.24218e-18,0.535779
0.138044,0.29231,6.245e-18,0.557842
0.141059,0.292167,4.16334e-18,0.557842
0.144073,0.292025,-3.78995e-18,0.573787
0.147088,0.291882,2.77556e-18,0.573787
0.150102,0.291739,3.01929e-18,0.601096
0.153117,0.291596,7.63278e-18,0.601096
0.156132,0.291454,7.63278e-18,0.601096
0.159146,0.291311,4.64168e-18,0.632928
0.162161,0.291168,2.08167e-18,0.632928
0.165175,0.291025,6.68995e-18,0.654304
0.16819,0.290883,6.5646e-18,0.654304
0.171205,0.29074,1.11022e-17,0.654304
0.174219,0.290597,1.08809e-17,0.670917
0.183263,0.290169,-1.85124e-18,0.694565
0.186278,0.290026,-3.77902e-27,0.694565
0.189292,0.289884,-4.86975e-18,0.714132
0.192307,0.289741,-8.78504e-18,0.714132
0.222453,0.288314,-6.93889e-19,0.747576
0.225468,0.288171,-2.87329e-18,0.752333
0.228482,0.288028,-8.43745e-18,0.752333
0.231497,0.287886,-6.245e-18,0.752333
0.249584,0.287029,4.16334e-18,0.753097
0.252599,0.286886,-6.93889e-19,0.753097
0.255614,0.286744,1.72942e-18,0.756071
0.300833,0.284603,8.43868e-19,0.768615
0.303847,0.28446,-2.77556e-18,0.768615
0.306862,0.284317,-6.93889e-19,0.768615
0.309876,0.284175,-5.20913e-19,0.770346
0.312891,0.284032,-1.16511e-18,0.770346
0.330979,0.283176,2.75549e-18,0.777534
0.333993,0.283033,4.83334e-18,0.777534
0.337008,0.28289,3.46945e-18,0.777534
0.340022,0.282747,2.08167e-18,0.777534
0.343037,0.282605,2.04713e-18,0.778807
0.346052,0.282462,8.99824e-18,0.778807
0.349066,0.282319,7.63278e-18,0.778807
0.352081,0.282177,9.71445e-18,0.778807
0.355096,0.282034,1.45717e-17,0.778807
0.35811,0.281891,1.39197e-17,0.778284
0.376198,0.281035,-2.08167e-18,0.777442
0.379212,0.280892,-2.08167e-18,0.777442
0.382227,0.280749,-3.47043e-19,0.775983
0.385242,0.280607,-2.37055e-18,0.775983
0.388256,0.280464,-2.77556e-18,0.775983
0.391271,0.280321,-4.85723e-18,0.775983
0.394285,0.280178,-2.88733e-18,0.773556
0.3973,0.280036,-4.54928e-18,0.773556
0.400315,0.279893,-8.98678e-18,0.773556
0.403329,0.27975,-7.63278e-18,0.773556
0.406344,0.279608,-3.46945e-18,0.773556
0.409358,0.279465,-7.37052e-18,0.770554
0.412373,0.279322,-7.45693e-18,0.770554
0.415388,0.279179,-6.245e-18,0.770554
0.418402,0.279037,-6.245e-18,0.770554
0.421417,0.278894,-5.6326e-18,0.76691
0.460607,0.277039,-4.16334e-18,0.763568
0.463621,0.276896,-5.55112e-18,0.763568
0.466636,0.276753,-2.50188e-18,0.762665
0.496782,0.275326,-1.01179e-18,0.761563
0.499796,0.275183,-1.53958e-18,0.761563
0.502811,0.27504,-5.53682e-18,0.761563
0.505826,0.274898,-6.245e-18,0.761563
0.50884,0.274755,-6.245e-18,0.761563
0.511855,0.274612,-4.34047e-18,0.760873
0.51487,0.274469,-3.46835e-18,0.760873
0.517884,0.274327,-9.10145e-18,0.760873
0.590235,0.270901,3.46945e-18,0.760787
0.593249,0.270759,-1.38778e-18,0.760787
0.596264,0.270616,-6.15505e-20,0.76086
0.599278,0.270473,2.94885e-18,0.76086
0.602293,0.27033,4.22452e-18,0.76086
0.605308,0.270188,4.85723e-18,0.76086
0.608322,0.270045,2.08167e-18,0.76086
0.611337,0.269902,2.77556e-18,0.76086
0.614351,0.26976,6.20565e-18,0.761246
0.644497,0.268332,1.38778e-18,0.761966
0.647512,0.26819,2.77556e-18,0.761966
0.650527,0.268047,4.16334e-18,0.761966
0.653541,0.267904,1.83983e-18,0.762374
0.656556,0.267761,1.06478e-18,0.762374
0.659571,0.267619,-1.79194e-18,0.762374
0.662585,0.267476,-2.08167e-18,0.762374
0.6656,0.267333,-6.93889e-19,0.762374
0.674644,0.266905,-3.22795e-18,0.762194
0.677658,0.266762,-1.9115e-18,0.762194
0.680673,0.26662,-2.76345e-18,0.762194
0.683687,0.266477,-2.77556e-18,0.762194
0.686702,0.266334,-6.245e-18,0.762194
0.689717,0.266192,-9.71445e-18,0.762194
0.692731,0.266049,-9.89661e-18,0.761818
0.695746,0.265906,-8.57054e-18,0.761818
0.69876,0.265763,-5.50974e-18,0.761818
0.701775,0.265621,-5.55112e-18,0.761818
0.70479,0.265478,-5.55112e-18,0.761818
0.707804,0.265335,-5.55112e-18,0.761818
0.710819,0.265192,-9.71445e-18,0.761818
0.713833,0.26505,-7.19991e-18,0.761229
0.716848,0.264907,-9.33389e-18,0.761229
0.719863,0.264764,-1.06005e-17,0.761229
0.722877,0.264622,-9.71445e-18,0.761229
0.725892,0.264479,-8.32667e-18,0.761229
0.728906,0.264336,-6.93889e-18,0.761229
0.731921,0.264193,-9.02056e-18,0.761229
0.734936,0.264051,-1.1376e-17,0.760404
0.771111,0.262338,-6.93889e-19,0.760109
0.774125,0.262195,-6.93889e-19,0.760109
0.77714,0.262053,4.74415e-18,0.760092
0.780155,0.26191,3.67791e-18,0.760092
0.783169,0.261767,2.61167e-18,0.760092
0.786184,0.261624,1.97912e-18,0.760092
0.789198,0.261482,6.93889e-19,0.760092
0.792213,0.261339,2.77556e-18,0.760092
0.795228,0.261196,4.85723e-18,0.760092
0.798242,0.261053,2.08167e-18,0.760092
0.801257,0.260911,5.93597e-18,0.760236
0.804271,0.260768,1.14702e-17,0.760236
0.837432,0.259198,-2.77556e-18,0.760601
0.840447,0.259055,-2.1718e-27,0.760601
0.843461,0.258913,2.77556e-18,0.760601
0.846476,0.25877,1.02657e-17,0.761203
0.849491,0.258627,1.06124e-17,0.761203
0.852505,0.258484,1.0959e-17,0.761203
0.85552,0.258342,1.02648e-17,0.761203
0.858534,0.258199,1.17961e-17,0.761203
0.900739,0.256201,-4.55783e-18,0.762616
0.903753,0.256058,-3.79022e-19,0.762616
0.906768,0.255915,-5.55112e-18,0.762616
0.909783,0.255773,-6.245e-18,0.762616
0.912797,0.25563,-6.93889e-18,0.762616
0.915812,0.255487,-7.63278e-18,0.762616
0.918826,0.255345,-1.04083e-17,0.762616
0.921841,0.255202,-1.69329e-17,0.762504
0.924856,0.255059,-1.37873e-17,0.762504
0.92787,0.254916,-1.44581e-17,0.762504
0.930885,0.254774,-1.39146e-17,0.762504
0.961031,0.253346,-4.16334e-18,0.761795
0.964046,0.253204,-6.245e-18,0.761795
0.96706,0.253061,-4.85723e-18,0.761795
0.970075,0.252918,-6.93889e-18,0.761795
0.973089,0.252775,-5.71205e-18,0.760977
0.976104,0.252633,-3.93951e-18,0.760977
1.12985,0.245354,4.16334e-18,0.760576
1.13286,0.245211,6.245e-18,0.760576
1.13588,0.245068,8.32667e-18,0.760576
1.13889,0.244926,9.71445e-18,0.760576
1.14191,0.244783,1.17961e-17,0.760576
1.14492,0.24464,1.03066e-17,0.76049
1.14794,0.244498,1.21194e-17,0.76049
1.15095,0.244355,1.4973e-17,0.76049
1.15397,0.244212,1.67858e-17,0.76049
1.15698,0.244069,1.79915e-17,0.76049
1.15999,0.243927,2.08167e-17,0.76049
1.23536,0.240359,4.85723e-18,0.75953
1.23837,0.240216,4.85723e-18,0.75953
1.24139,0.240073,3.99424e-18,0.75863
1.2444,0.23993,5.82516e-18,0.75863
1.24742,0.239788,4.18664e-18,0.75863
1.25043,0.239645,4.28284e-18,0.75863
1.25345,0.239502,4.72598e-18,0.75863
1.25646,0.239359,6.245e-18,0.75863
1.25948,0.239217,9.71445e-18,0.75863
1.26249,0.239074,9.02056e-18,0.75863
1.26551,0.238931,5.55112e-18,0.75863
1.26852,0.238789,6.93889e-18,0.75863
1.27154,0.238646,6.93889e-18,0.75863
1.27455,0.238503,4.70898e-18,0.758389
1.27756,0.23836,7.23956e-18,0.758389
1.28058,0.238218,1.21988e-17,0.758389
1.28359,0.238075,1.36885e-17,0.758389
1.28661,0.237932,1.46578e-17,0.758389
1.28962,0.237789,1.73944e-17,0.758389
1.29264,0.237647,1.52656e-17,0.758389
1.29565,0.237504,1.73472e-17,0.758389
1.29867,0.237361,1.59595e-17,0.758389
1.30168,0.237219,1.80411e-17,0.758389
1.3047,0.237076,1.52656e-17,0.758389
1.30771,0.236933,1.58935e-17,0.758606
1.31072,0.23679,1.7042e-17,0.758606
1.31374,0.236648,1.81904e-17,0.758606
1.31675,0.236505,1.93388e-17,0.758606
1.31977,0.236362,2.04873e-17,0.758606
1.32278,0.23622,1.7906e-17,0.758606
1.3258,0.236077,1.66533e-17,0.758606
1.32881,0.235934,2.15106e-17,0.758606
1.33183,0.235791,1.94289e-17,0.758606
1.33484,0.235649,2.08167e-17,0.758606
1.33786,0.235506,1.8735e-17,0.758606
1.34087,0.235363,1.94289e-17,0.758606
1.34389,0.23522,2.13518e-17,0.759276
1.3469,0.235078,1.90363e-17,0.759276
1.34991,0.234935,2.01902e-17,0.759276
1.35293,0.234792,1.85686e-17,0.759276
1.35594,0.23465,1.72939e-17,0.759276
1.35896,0.234507,1.66697e-17,0.759276
1.36197,0.234364,1.8735e-17,0.759276
1.36499,0.234221,1.8735e-17,0.759276
1.368,0.234079,1.8735e-17,0.759276
1.37102,0.233936,2.22045e-17,0.759276
1.37403,0.233793,2.22045e-17,0.759276
1.37705,0.233651,2.22045e-17,0.759276
1.38006,0.233508,2.13255e-17,0.760365
1.38308,0.233365,2.31787e-17,0.760365
1.38609,0.233222,2.32972e-17,0.760365
1.3891,0.23308,2.34157e-17,0.760365
1.39212,0.232937,2.42281e-17,0.760365
1.39513,0.232794,2.50404e-17,0.760365
1.39815,0.232651,2.35922e-17,0.760365
1.40116,0.232509,2.28983e-17,0.760365
1.40418,0.232366,2.63678e-17,0.760365
1.40719,0.232223,2.28983e-17,0.760365
1.41021,0.232081,2.28983e-17,0.760365
1.41322,0.231938,1.94289e-17,0.760365
1.41624,0.231795,1.58118e-17,0.760896
1.41925,0.231652,1.28131e-17,0.760896
1.42227,0.23151,1.32837e-17,0.760896
1.42528,0.231367,1.09788e-17,0.760896
1.42829,0.231224,6.76577e-18,0.760896
1.43131,0.231081,8.53748e-18,0.760896
1.43432,0.230939,4.85723e-18,0.760896
1.43734,0.230796,2.77556e-18,0.760896
1.53682,0.226086,2.35371e-18,0.761012
1.53983,0.225943,3.27082e-18,0.761012
1.54285,0.225801,2.62667e-18,0.761012
1.54586,0.225658,6.81484e-19,0.761012
1.54888,0.225515,-1.51185e-18,0.761012
1.55189,0.225373,-1.04118e-18,0.761012
1.55491,0.22523,-5.77468e-18,0.761012
1.55792,0.225087,-5.9979e-18,0.761012
1.56094,0.224944,-6.39458e-18,0.761012
1.56395,0.224802,-6.27086e-18,0.761012
1.56697,0.224659,-6.16763e-18,0.761033
1.56998,0.224516,-4.55138e-18,0.761033
1.573,0.224373,-3.62902e-18,0.761033
1.57601,0.224231,-5.48222e-18,0.761033
1.57902,0.224088,-5.6007e-18,0.761033
1.58204,0.223945,-4.15792e-18,0.761033
1.58505,0.223803,-5.61153e-18,0.761033
1.58807,0.22366,-7.22777e-18,0.761033
1.65439,0.22052,5.92526e-20,0.760646
1.6574,0.220377,-1.25128e-19,0.760646
1.66042,0.220234,-3.64476e-19,0.760646
1.66343,0.220092,1.82479e-18,0.760646
1.66645,0.219949,2.27933e-18,0.760646
1.66946,0.219806,6.20332e-18,0.760646
1.67248,0.219664,9.69363e-18,0.760646
1.67549,0.219521,1.12797e-17,0.760423
1.67851,0.219378,1.08308e-17,0.760423
1.68152,0.219235,1.21167e-17,0.760423
1.68454,0.219093,1.6525e-17,0.760423
1.68755,0.21895,1.74638e-17,0.760423
1.69057,0.218807,1.87204e-17,0.760423
1.69358,0.218665,1.63937e-17,0.760423
1.69659,0.218522,1.68426e-17,0.760423
1.80813,0.213241,3.02955e-18,0.759285
1.81115,0.213098,1.56369e-18,0.759285
1.81416,0.212956,1.48561e-18,0.759285
1.81718,0.212813,2.2749e-18,0.759285
1.82019,0.21267,2.6305e-18,0.759285
1.82321,0.212527,3.95279e-18,0.759285
1.82622,0.212385,2.29615e-18,0.759285
1.82924,0.212242,6.19062e-18,0.759285
1.83225,0.212099,3.1462e-18,0.759285
1.83527,0.211956,2.70386e-18,0.759285
1.83828,0.211814,2.25269e-18,0.759019
1.8413,0.211671,2.52788e-18,0.759019
1.84431,0.211528,2.80307e-18,0.759019
1.84732,0.211386,2.2109e-18,0.759019
1.85034,0.211243,2.83304e-18,0.759019
1.85335,0.2111,1.22858e-18,0.759019
1.85637,0.210957,3.03505e-18,0.759019
1.85938,0.210815,1.37208e-18,0.759019
1.8624,0.210672,4.04592e-18,0.759019
1.86541,0.210529,2.12274e-18,0.759019
1.986,0.20482,3.22627e-18,0.758366
1.98901,0.204678,6.59545e-20,0.758366
1.99203,0.204535,-4.1352e-18,0.758366
1.99504,0.204392,-4.16217e-18,0.758366
1.99805,0.204249,-1.68723e-18,0.758366
2.00107,0.204107,-3.38414e-18,0.758366
2.00408,0.203964,-3.34633e-18,0.758366
2.0071,0.203821,-1.834e-18,0.758366
2.01011,0.203679,-4.70555e-18,0.758435
2.01313,0.203536,-4.38914e-18,0.758435
2.01614,0.203393,-1.29718e-18,0.758435
2.01916,0.20325,-4.27675e-18,0.758435
2.02217,0.203108,2.05215e-18,0.758435
2.02519,0.202965,-3.12148e-18,0.758435
2.04327,0.202109,-5.11059e-19,0.758578
2.04629,0.201966,-2.18214e-18,0.758578
2.0493,0.201823,-2.21831e-18,0.758578
2.05232,0.20168,-1.15438e-18,0.758578
2.05533,0.201538,-1.47823e-18,0.758578
2.05835,0.201395,-4.40416e-18,0.758578
2.06136,0.201252,-3.42415e-18,0.758817
2.06438,0.201109,-2.39879e-18,0.758817
2.06739,0.200967,-5.53677e-18,0.758817
2.07041,0.200824,-3.2971e-18,0.758817
2.07342,0.200681,-5.57856e-18,0.758817
2.1307,0.19797,-3.67346e-18,0.759413
2.13371,0.197827,-4.80134e-18,0.759413
2.13673,0.197684,-1.29745e-17,0.759627
2.13974,0.197541,-1.12313e-17,0.759627
2.14276,0.197399,-1.12228e-17,0.759627
2.14577,0.197256,-8.61221e-18,0.759627
2.14878,0.197113,-7.18225e-18,0.759627
2.1518,0.196971,-7.53768e-18,0.759627
2.15481,0.196828,-8.41352e-18,0.759627
2.15783,0.196685,-1.18914e-17,0.759627
2.16084,0.196542,-1.42879e-17,0.75982
2.16386,0.1964,-1.60058e-17,0.75982
2.16687,0.196257,-1.25195e-17,0.75982
2.16989,0.196114,-1.39283e-17,0.75982
2.1729,0.195971,-1.35351e-17,0.75982
2.17592,0.195829,-1.21641e-17,0.75982
2.17893,0.195686,-1.42626e-17,0.75982
2.18195,0.195543,-1.2434e-17,0.760007
2.18496,0.195401,-1.34494e-17,0.760007
2.18797,0.195258,-1.61995e-17,0.760007
2.19099,0.195115,-1.89497e-17,0.760007
2.194,0.194972,-1.88927e-17,0.760007
2.19702,0.19483,-1.78772e-17,0.760007
2.20003,0.194687,-1.72088e-17,0.760007
2.20305,0.194544,-1.52392e-17,0.760007
2.20606,0.194401,-1.70819e-17,0.760194
2.20908,0.194259,-1.98233e-17,0.760194
2.21209,0.194116,-2.08299e-17,0.760194
2.21511,0.193973,-2.63887e-17,0.760194
2.21812,0.193831,-2.5382e-17,0.760194
2.23319,0.193117,4.75783e-18,0.760313
2.23621,0.192974,2.67593e-18,0.760313
2.23922,0.192832,1.74785e-18,0.760313
2.24224,0.192689,1.01083e-18,0.760313
2.24525,0.192546,1.83506e-18,0.760313
2.24827,0.192403,4.28234e-18,0.760396
2.25128,0.192261,4.6816e-18,0.760396
2.2543,0.192118,4.38696e-18,0.760396
2.25731,0.191975,2.53108e-18,0.760396
2.26033,0.191832,-2.40992e-18,0.760396
2.26334,0.19169,3.13326e-19,0.760396
2.26635,0.191547,2.61015e-19,0.760396
2.26937,0.191404,-6.10351e-18,0.760483
2.27238,0.191262,-7.08264e-18,0.760483
2.2754,0.191119,-9.79649e-18,0.760483
2.27841,0.190976,-6.98091e-18,0.760483
2.28143,0.190833,-8.0211e-18,0.760483
2.28444,0.190691,-1.01645e-17,0.760483
2.28746,0.190548,-1.10068e-17,0.760483
2.29047,0.190405,-1.50337e-17,0.760565
2.29349,0.190262,-1.25338e-17,0.760565
2.35378,0.187408,-2.87416e-18,0.760682
2.35679,0.187265,6.90946e-19,0.760682
2.35981,0.187123,-3.227e-18,0.760682
2.36282,0.18698,-3.67549e-18,0.760682
2.36584,0.186837,-5.35997e-18,0.760682
2.36885,0.186694,-6.52013e-18,0.760699
2.37187,0.186552,-4.6733e-18,0.760699
2.37488,0.186409,-4.88646e-18,0.760699
2.37789,0.186266,-2.4898e-18,0.760699
2.38091,0.186124,-3.64274e-18,0.760699
2.38392,0.185981,-5.4462e-18,0.760699
2.38694,0.185838,-6.53204e-18,0.760664
2.38995,0.185695,-8.83775e-18,0.760664
2.39297,0.185553,-1.04713e-17,0.760664
2.39598,0.18541,-1.01431e-17,0.760664
2.399,0.185267,-5.40875e-18,0.760664
2.40201,0.185124,-4.84861e-18,0.760664
2.40503,0.184982,-6.47791e-18,0.76061
2.40804,0.184839,-7.73172e-18,0.76061
2.41106,0.184696,-9.74947e-18,0.76061
2.45627,0.182555,8.82728e-19,0.76038
2.45929,0.182413,3.48006e-18,0.76038
2.4623,0.18227,5.37179e-18,0.76038
2.46532,0.182127,4.50919e-18,0.76038
