x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,1.45838e-16,0
-2.46817,-2.54642,1.00467e-17,3,4.67102e-17,0
-2.46817,-2.37476,9.00586e-18,3,-6.87502e-17,0
-2.46817,-2.20992,9.35281e-18,3,-2.00065e-17,0
-2.46817,-2.05161,9.35281e-18,3,-9.57149e-17,0
-2.46817,-1.89959,7.96503e-18,3,-2.33561e-17,0
-2.46817,-1.75359,6.43317e-18,3,8.39295e-17,0
-2.46817,-1.61339,4.78519e-18,3,4.77728e-17,0
-2.46817,-1.47875,1.14227e-18,3,1.07157e-17,0
-2.46817,-1.34946,2.26984e-18,3,7.11741e-17,0
-2.46817,-1.22529,4.69845e-18,3,2.91808e-17,0
-2.46817,-1.10605,7.04033e-18,3,-2.2946e-16,0
-2.46817,-0.991539,1.00761e-17,3,-2.01494e-16,0
-2.46817,-0.881573,1.077e-17,3,6.88854e-17,0
-2.46817,-0.775969,1.077e-17,3,1.49819e-16,0
-2.46817,-0.674554,1.2071e-17,3,2.24455e-16,0
-2.46817,-0.577164,1.29384e-17,3,9.01388e-17,0
-2.46817,-0.483637,1.12037e-17,3,-9.71651e-17,0
-2.46817,-0.393821,1.12037e-17,3,-1.44537e-16,0
-2.46817,-0.307568,1.12037e-17,3,-1.4162e-16,0
-2.46817,-0.224738,7.56075e-18,3,1.31431e-17,0
-2.46817,-0.145193,8.94852e-18,3,-4.63894e-17,0
-2.46817,-0.0688046,1.13771e-17,3,5.87825e-17,0
-2.46817,0.00455329,1.14492e-17,3,1.88505e-16,0
-2.46817,0.0750007,2.87699e-18,3,1.76682e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.34202e-16,0
-2.46817,0.207622,6.2597e-18,3,-2.56442e-16,0
-2.46817,0.270013,4.95866e-18,3,-1.84477e-16,0
-2.46817,0.329928,3.65762e-18,3,-4.2767e-17,0
-2.46817,0.387466,4.35151e-18,3,1.01589e-16,0
-2.46817,0.442722,5.73929e-18,3,4.90387e-17,0
-2.46817,0.495785,6.43317e-18,3,-2.53732e-16,0
-2.46817,0.546744,5.13213e-18,3,-5.12007e-17,0
-2.46817,0.59568,2.79026e-18,3,1.17844e-17,0
-2.46817,0.642675,2.44331e-18,3,8.62154e-17,0
-2.46817,0.687805,3.1372e-18,3,1.49033e-16,0
-2.46817,0.731145,3.83109e-18,3,1.86346e-17,0
-2.46817,0.772765,5.65255e-18,3,-4.11381e-17,0
-2.46817,0.812735,6.08623e-18,3,-2.01047e-16,0
-2.46817,0.851118,5.39234e-18,3,-2.23633e-16,0
-2.46817,0.887978,4.69845e-18,3,3.7942e-17,0
-2.46817,0.923377,5.3056e-18,3,-1.48898e-17,0
-2.46817,0.95737,4.16334e-18,3,-3.49438e-17,0
-2.46817,0.990015,2.53005e-18,3,-1.46341e-16,0
-2.46817,1.02137,1.83616e-18,3,-2.09121e-17,0
-2.46817,1.05147,-8.52664e-19,3,2.11149e-17,0
-2.46817,1.08038,-8.52664e-19,3,6.86527e-17,0
-2.46817,1.10815,-2.06697e-18,3,2.17192e-16,0
-2.46817,1.13481,-3.97517e-18,3,3.38175e-16,0
-2.46817,1.16042,-2.67412e-18,3,3.77258e-17,0
-2.46817,1.18501,-3.97517e-18,3,1.21231e-13,0
-2.46817,1.20862,-5.27621e-18,3,-2.96406e-09,0
-2.46817,1.2313,-3.28128e-18,2.76292,-0.137318,0
-2.46817,1.25307,-3.88843e-18,1.62738,-0.834219,0
-2.46817,1.27399,-6.23031e-18,1.39681,-0.958066,0
-2.46817,1.29407,-5.53642e-18,1.36808,-0.935731,0
-2.46817,1.31336,-3.1078e-18,1.32254,-0.913363,0
-2.46817,1.33188,-1.37308e-18,1.29729,-0.886873,0
-2.46817,1.34966,-9.394e-19,1.27386,-0.886703,0
-2.46817,1.36675,-8.52664e-19,1.28799,-0.895996,0
-2.46817,1.38315,-1.58774e-19,1.31343,-0.939719,0
-2.46817,1.3989,4.33681e-19,1.34296,-0.957918,0
-2.46817,1.44612,-3.46945e-18,2.53052,-1.38828,0
-2.46817,1.45582,-1.73472e-18,2.71966,-1.65805,0
-2.46817,1.46592,0,3.03662,-1.31719,0
-2.46817,1.47643,0,3.15559,-1.22539,0
-2.46817,1.48738,0,3.20135,-0.974938,0
-2.46817,1.49878,0,3.18801,-0.730628,0
-2.46817,1.51065,0,3.14304,-0.500005,0
-2.46817,1.52301,0,3.0925,-0.307581,0
-2.46817,1.53588,0,3.04678,-0.147742,0
-2.46817,1.54928,-1.73472e-18,3.01611,-0.0483901,0
-2.46817,1.56324,-4.85723e-18,3.00288,-0.00834372,0
-2.46817,1.57777,-7.63278e-18,3.00021,-0.000610302,0
-2.46817,1.59291,-1.07553e-17,3.00001,-1.85225e-05,0
-2.46817,1.60867,-1.11022e-17,3,-2.41342e-07,0
-2.46817,1.62508,-1.11022e-17,3,-2.04492e-09,0
-2.46817,1.64217,-1.42247e-17,3,-1.47591e-11,0
-2.46817,1.65996,-1.45717e-17,3,-9.89355e-14,0
-2.46817,1.67849,-1.21206e-17,3,-4.34749e-17,0
-2.46817,1.69779,-3.81639e-18,3,4.26012e-16,0
-2.46817,1.71788,-2.08167e-18,3,-5.03711e-17,0
-2.46817,1.7388,-5.20417e-18,3,-1.23828e-17,0
-2.46817,1.76059,-8.32667e-18,3,-3.52282e-16,0
-2.46817,1.78327,-8.67362e-18,3,-1.63813e-18,0
-2.46817,1.8069,-9.02056e-18,3,-5.35666e-17,0
-2.46817,1.8315,-9.02056e-18,3,-2.0316e-16,0
-2.46817,1.85712,-9.02056e-18,3,1.34974e-16,0
-2.46817,1.88379,-7.63278e-18,3,-1.28798e-19,0
-2.46817,1.91157,-6.245e-18,3,5.93071e-17,0
-2.46817,1.94049,-6.245e-18,3,1.78493e-16,0
-2.46817,1.97061,-4.51028e-18,3,6.75072e-17,0
-2.46817,2.00197,-1.04083e-18,3,4.94977e-17,0
-2.46817,2.03463,6.93889e-19,3,-5.13907e-17,0
-2.46817,2.06864,6.93889e-19,3,3.88528e-17,0
-2.46817,2.10406,6.93889e-19,3,-2.61824e-17,0
-2.46817,2.14093,6.93889e-19,3,1.33736e-16,0
-2.46817,2.17933,6.93889e-19,3,5.00763e-16,0
-2.46817,2.21932,7.16313e-19,3,-2.48567e-16,0
