x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.10622e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.42037e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.30651e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.68859e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.10897e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.06844e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.44676e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75963e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46634e-16,0
-2.46817,-0.881573,1.077e-17,3,1.34447e-16,0
-2.46817,-0.775969,1.077e-17,3,4.35968e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.10717e-17,0
-2.46817,-0.577164,1.29384e-17,3,-2.39785e-17,0
-2.46817,-0.483637,1.12037e-17,3,-1.23136e-16,0
-2.46817,-0.393821,1.12037e-17,3,-1.17271e-16,0
-2.46817,-0.307568,1.12037e-17,3,-7.75281e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.72627e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98992e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.2788e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82466e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05894e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.22072e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.98972e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.02097e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.62318e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.34806e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.96922e-16,0
-2.46817,0.495785,6.43317e-18,3,-3.17064e-16,0
-2.46817,0.546744,5.13213e-18,3,3.09883e-17,0
-2.46817,0.59568,2.79026e-18,3,3.12302e-16,0
-2.46817,0.642675,2.44331e-18,3,4.822e-16,0
-2.46817,0.687805,3.1372e-18,3,4.73757e-16,0
-2.46817,0.731145,3.83109e-18,3,2.7367e-16,0
-2.46817,0.772765,5.65255e-18,3,1.17751e-17,0
-2.46817,0.812735,6.08623e-18,3,-6.96533e-16,0
-2.46817,0.851118,5.39234e-18,3,4.3931e-14,0
-2.46817,0.887978,4.69845e-18,3,-7.90906e-10,0
-2.46817,0.923377,5.3056e-18,2.62902,-0.138417,0
-2.46817,0.95737,4.16334e-18,1.13982,-0.601259,0
-2.46817,0.990015,2.53005e-18,1.04861,-0.695122,0
-2.46817,1.02137,1.83616e-18,1.04539,-0.686326,0
-2.46817,1.05147,-8.52664e-19,1.02829,-0.682929,0
-2.46817,1.08038,-8.52664e-19,1.0158,-0.674285,0
-2.46817,1.10815,-2.06697e-18,1.0048,-0.664866,0
-2.46817,1.13481,-3.97517e-18,0.991979,-0.653731,0
-2.46817,1.16042,-2.67412e-18,0.977249,-0.64275,0
-2.46817,1.18501,-3.97517e-18,0.962024,-0.635823,0
-2.46817,1.20862,-5.27621e-18,0.950537,-0.626885,0
-2.46817,1.2313,-3.28128e-18,0.937317,-0.619264,0
-2.46817,1.25307,-3.88843e-18,0.923088,-0.607722,0
-2.46817,1.27399,-6.23031e-18,0.902617,-0.598216,0
-2.46817,1.29407,-5.53642e-18,0.879202,-0.581197,0
-2.46817,1.31336,-3.1078e-18,0.844423,-0.564676,0
-2.46817,1.33188,-1.37308e-18,0.807811,-0.536321,0
-2.46817,1.34966,-9.394e-19,0.768852,-0.52076,0
-2.46817,1.36675,-8.52664e-19,0.748193,-0.508543,0
-2.46817,1.38315,-1.58774e-19,0.73704,-0.518002,0
-2.46817,1.3989,4.33681e-19,0.738712,-0.516378,0
-2.46817,1.44612,-3.46945e-18,2.29405,-1.05017,0
-2.46817,1.45582,-1.73472e-18,2.39415,-1.05909,0
-2.46817,1.46592,0,2.67786,-1.30984,0
-2.46817,1.47643,0,2.87561,-1.49326,0
-2.46817,1.48738,0,2.89859,-1.14242,0
-2.46817,1.49878,0,2.89348,-0.993505,0
-2.46817,1.51065,0,2.87816,-0.741515,0
-2.46817,1.52301,0,2.85044,-0.520269,0
-2.46817,1.53588,0,2.81656,-0.299355,0
-2.46817,1.54928,-1.73472e-18,2.77793,-0.079538,0
-2.46817,1.56324,-4.85723e-18,2.74041,0.0956419,0
-2.46817,1.57777,-7.63278e-18,2.68867,0.296322,0
-2.46817,1.59291,-1.07553e-17,2.64166,0.477188,0
-2.46817,1.60867,-1.11022e-17,2.66105,0.52083,0
-2.46817,1.62508,-1.11022e-17,2.71876,0.461597,0
-2.46817,1.64217,-1.42247e-17,2.86819,0.262408,0
-2.46817,1.65996,-1.45717e-17,2.97516,0.0646063,0
-2.46817,1.67849,-1.21206e-17,2.9988,0.00360204,0
-2.46817,1.69779,-3.81639e-18,2.99998,4.84711e-05,0
-2.46817,1.71788,-2.08167e-18,3,2.90334e-07,0
-2.46817,1.7388,-5.20417e-18,3,1.32983e-09,0
-2.46817,1.76059,-8.32667e-18,3,5.22573e-12,0
-2.46817,1.78327,-8.67362e-18,3,5.091e-15,0
-2.46817,1.8069,-9.02056e-18,3,-5.47826e-15,0
-2.46817,1.8315,-9.02056e-18,3,-9.84474e-17,0
-2.46817,1.85712,-9.02056e-18,3,3.96008e-16,0
-2.46817,1.88379,-7.63278e-18,3,2.3578e-16,0
-2.46817,1.91157,-6.245e-18,3,2.94698e-16,0
-2.46817,1.94049,-6.245e-18,3,3.56054e-16,0
-2.46817,1.97061,-4.51028e-18,3,2.44996e-16,0
-2.46817,2.00197,-1.04083e-18,3,9.30071e-17,0
-2.46817,2.03463,6.93889e-19,3,-1.54431e-16,0
-2.46817,2.06864,6.93889e-19,3,-1.54394e-16,0
-2.46817,2.10406,6.93889e-19,3,-1.87054e-16,0
-2.46817,2.14093,6.93889e-19,3,1.43471e-17,0
-2.46817,2.17933,6.93889e-19,3,4.81884e-16,0
-2.46817,2.21932,7.16313e-19,3,-2.05905e-16,0
-2.46817,2.26096,-1.38778e-18,3,-1.2803e-17,0
-2.46817,2.30432,-1.38778e-18,3,1.53306e-16,0
-2.46817,2.34947,-3.1225e-18,3,4.6642e-17,0
-2.46817,2.39648,-3.1225e-18,3,-1.95383e-16,0
-2.46817,2.44544,-3.1225e-18,3,1.52643e-16,0
-2.46817,2.49642,-3.1225e-18,3,-3.64845e-16,0
-2.46817,2.54951,-3.1225e-18,3,-4.79713e-17,0
-2.46817,2.60479,-3.1225e-18,3,1.00748e-16,0
-2.46817,2.66235,-4.16334e-18,3,1.39926e-16,0
-2.46817,2.7223,-6.93889e-18,3,5.44605e-17,0
-2.46817,2.78471,-6.93889e-18,3,-3.01772e-16,0
-2.46817,2.84971,-5.20417e-18,3,-4.54039e-16,0
-2.46817,2.91739,-3.1225e-18,3,-1.15493e-15,0
