x,y,z,p
2.98858,0.261467,-6.93889e-18,0.933365
2.98265,0.260345,3.46945e-18,0.302319
2.97969,0.259785,-4.35347e-18,0.302318
2.96486,0.25698,-1.93665e-26,0.302336
2.9619,0.256419,6.245e-18,0.302344
2.9441,0.253054,-3.46945e-18,0.302388
2.94114,0.252493,-3.16608e-18,0.302399
2.93817,0.251932,-9.02056e-18,0.302399
2.92335,0.249128,-9.32977e-27,0.30243
2.92038,0.248567,-7.58591e-18,0.302437
2.89962,0.244641,2.77556e-18,0.302448
2.89666,0.24408,4.22529e-18,0.302445
2.89369,0.243519,5.55112e-18,0.302445
2.89073,0.242958,2.81748e-19,0.30245
2.88776,0.242397,2.08167e-18,0.30245
2.88479,0.241836,6.51188e-19,0.302463
2.87886,0.240714,4.30121e-19,0.302477
2.8759,0.240154,-6.82071e-27,0.302477
2.86404,0.23791,-3.46945e-18,0.302499
2.86107,0.237349,-6.66588e-18,0.302507
2.85811,0.236788,-6.93889e-18,0.302507
2.83735,0.232862,4.85723e-18,0.302526
2.83438,0.232301,-6.93889e-19,0.302526
2.83142,0.23174,-8.40925e-19,0.302528
2.81956,0.229497,-7.63278e-18,0.30253
2.81659,0.228936,-8.54222e-18,0.302534
2.81363,0.228375,-6.93889e-18,0.302534
2.81066,0.227814,-5.10617e-18,0.302535
2.80769,0.227253,-9.7418e-18,0.302535
2.80473,0.226692,-9.71445e-18,0.302535
2.80176,0.226131,-7.50715e-18,0.302533
2.7988,0.22557,-6.93889e-18,0.302533
2.78101,0.222205,1.38778e-18,0.302515
2.77804,0.221644,5.41851e-18,0.302504
2.77508,0.221083,2.91322e-18,0.302504
2.76321,0.21884,2.77556e-18,0.302491
2.76025,0.218279,-8.6609e-19,0.302475
2.75728,0.217718,-1.94069e-18,0.302475
2.75432,0.217157,-6.245e-18,0.302475
2.75135,0.216596,-1.39755e-17,0.302459
2.74839,0.216035,-1.39886e-17,0.302459
2.73949,0.214353,4.37975e-18,0.302449
2.73652,0.213792,2.77556e-18,0.302449
2.73356,0.213231,-6.93889e-19,0.302449
2.73059,0.21267,1.11981e-18,0.30244
2.72763,0.212109,4.16334e-18,0.30244
2.72466,0.211548,2.77556e-18,0.30244
2.7217,0.210987,2.42331e-18,0.302429
2.70391,0.207622,-2.08167e-18,0.302417
2.70094,0.207061,5.08973e-18,0.302409
2.69797,0.2065,1.61715e-18,0.302409
2.68908,0.204818,-1.12103e-17,0.302403
2.68611,0.204257,-1.04083e-17,0.302403
2.68315,0.203696,-1.45717e-17,0.302403
2.68018,0.203135,-2.0439e-17,0.302399
2.67722,0.202574,-2.11871e-17,0.302399
2.67425,0.202013,-2.70617e-17,0.302399
2.67129,0.201452,-2.63678e-17,0.302399
2.66832,0.200891,-2.4807e-17,0.302397
2.66536,0.200331,-2.42369e-17,0.302397
2.66239,0.19977,-2.77556e-17,0.302397
2.65646,0.198648,-3.06763e-19,0.302398
2.65349,0.198087,6.70463e-19,0.302398
2.65053,0.197526,-1.38778e-18,0.302398
2.64756,0.196965,-1.40784e-18,0.302402
2.6446,0.196404,1.71084e-18,0.302402
2.64163,0.195844,6.93889e-19,0.302402
2.63867,0.195283,-2.08167e-18,0.302402
2.6357,0.194722,-8.36122e-18,0.302407
2.63274,0.194161,-8.69594e-18,0.302407
2.60605,0.189113,-2.73995e-18,0.302404
2.60308,0.188552,-1.38778e-18,0.302404
2.60012,0.187991,-4.16334e-18,0.302404
2.59715,0.18743,1.04074e-18,0.302397
2.59419,0.186869,3.35404e-18,0.302397
2.59122,0.186308,6.245e-18,0.302397
2.58825,0.185748,4.16334e-18,0.302397
2.58529,0.185187,1.27601e-18,0.302398
2.58232,0.184626,6.20601e-18,0.302398
2.55267,0.179017,-3.43565e-18,0.302418
2.5497,0.178456,-2.08167e-18,0.302418
2.54674,0.177895,-1.38778e-18,0.302418
2.54377,0.177334,-4.42746e-18,0.302427
2.54081,0.176773,-5.00672e-18,0.302427
2.53784,0.176212,-9.02056e-18,0.302427
2.53488,0.175652,-9.71445e-18,0.302427
2.53191,0.175091,-6.93889e-18,0.302427
2.52895,0.17453,-1.14782e-17,0.302434
2.50819,0.170604,-2.08167e-18,0.302446
2.50522,0.170043,1.38778e-18,0.302446
2.50226,0.169482,4.85723e-18,0.302446
2.49929,0.168921,4.45736e-18,0.302462
2.49633,0.16836,9.46826e-18,0.302462
2.49336,0.167799,7.63278e-18,0.302462
2.4904,0.167238,9.02056e-18,0.302462
2.44888,0.159386,5.25706e-18,0.302503
2.44592,0.158825,4.85723e-18,0.302503
2.44295,0.158264,2.77556e-18,0.302503
2.43998,0.157703,6.93889e-19,0.302503
2.43702,0.157142,-5.0796e-18,0.302495
2.43405,0.156581,-6.26571e-18,0.302495
2.43109,0.156021,-4.15585e-18,0.302495
2.42812,0.15546,-5.55112e-18,0.302495
2.42516,0.154899,-6.245e-18,0.302495
2.42219,0.154338,-6.93889e-18,0.302495
2.41923,0.153777,-5.24817e-18,0.302492
2.41626,0.153216,-3.64741e-18,0.302492
2.4133,0.152655,-4.21505e-18,0.302492
2.41033,0.152094,-4.16334e-18,0.302492
2.40737,0.151533,-4.16334e-18,0.302492
2.4044,0.150973,-5.57057e-18,0.302499
2.40143,0.150412,-1.87709e-18,0.302499
2.39847,0.149851,-3.90819e-18,0.302499
2.3955,0.14929,-4.16334e-18,0.302499
2.39254,0.148729,-2.77556e-18,0.302499
2.38957,0.148168,-4.85723e-18,0.302499
2.38661,0.147607,3.4079e-18,0.302517
2.38364,0.147046,3.29579e-18,0.302517
2.38068,0.146485,4.398e-18,0.302517
2.37771,0.145925,3.46945e-18,0.302517
2.35992,0.142559,5.22744e-18,0.302535
2.35695,0.141998,9.02056e-18,0.302535
2.35399,0.141438,6.245e-18,0.302535
2.35102,0.140877,3.46945e-18,0.302535
2.34806,0.140316,-3.86343e-18,0.302549
2.34509,0.139755,-1.873e-18,0.302549
2.34213,0.139194,-6.38778e-18,0.302549
2.33916,0.138633,-7.63278e-18,0.302549
2.3362,0.138072,-9.02056e-18,0.302549
2.33323,0.137511,-6.93889e-18,0.302549
2.33026,0.13695,-7.87462e-18,0.302561
2.3273,0.13639,-8.64967e-18,0.302561
2.32433,0.135829,-9.42473e-18,0.302561
2.32137,0.135268,-5.55112e-18,0.302561
2.3184,0.134707,-9.02056e-18,0.302561
2.31544,0.134146,-9.02056e-18,0.302561
2.31247,0.133585,-9.05469e-18,0.30255
2.30951,0.133024,-8.77907e-18,0.30255
2.30654,0.132463,-9.19734e-18,0.30255
2.30358,0.131902,-1.0483e-17,0.30255
2.30061,0.131342,-1.04083e-17,0.30255
2.29765,0.130781,-1.38778e-17,0.30255
2.29468,0.13022,-1.38778e-17,0.30255
2.29171,0.129659,-1.61416e-17,0.302517
2.28875,0.129098,-1.44686e-17,0.302517
2.28578,0.128537,-1.07139e-17,0.302517
2.28282,0.127976,-1.52656e-17,0.302517
2.27985,0.127415,-1.38778e-17,0.302517
2.27689,0.126854,-1.59595e-17,0.302517
2.27392,0.126294,-1.45717e-17,0.302517
2.27096,0.125733,-1.62205e-17,0.302489
2.26799,0.125172,-1.62728e-17,0.302489
2.26503,0.124611,-1.64986e-17,0.302489
2.26206,0.12405,-1.04083e-17,0.302489
2.21758,0.115637,6.245e-18,0.302437
2.21461,0.115076,4.85723e-18,0.302437
2.21165,0.114515,4.16334e-18,0.302437
2.20868,0.113954,1.2747e-18,0.302426
2.20572,0.113393,4.3718e-18,0.302426
2.20275,0.112832,2.61167e-18,0.302426
2.19979,0.112271,5.01488e-18,0.302426
2.19682,0.111711,4.85723e-18,0.302426
2.19386,0.11115,4.16334e-18,0.302426
2.19089,0.110589,4.16334e-18,0.302426
2.13158,0.099371,-1.53133e-18,0.302426
2.12862,0.0988101,-3.46945e-18,0.302426
2.12565,0.0982492,-3.46945e-18,0.302426
2.12269,0.0976884,-2.77556e-18,0.302426
2.11972,0.0971275,1.38778e-18,0.302426
2.11676,0.0965666,5.52136e-19,0.302436
2.11379,0.0960057,-3.95047e-18,0.302436
2.11082,0.0954448,-3.94279e-18,0.302436
2.10786,0.0948839,-9.86089e-19,0.302436
2.07227,0.0881533,-2.77556e-18,0.302453
2.06931,0.0875924,-6.93889e-19,0.302453
2.06634,0.0870315,-3.05515e-18,0.302474
2.06338,0.0864706,-1.29733e-18,0.302474
2.06041,0.0859097,-2.31507e-18,0.302474
2.05745,0.0853489,-3.33281e-18,0.302474
2.05448,0.084788,-3.46945e-18,0.302474
2.05152,0.0842271,-4.85723e-18,0.302474
2.04855,0.0836662,-9.71445e-18,0.302474
2.04559,0.0831053,-1.11022e-17,0.302474
2.04262,0.0825444,-1.32765e-17,0.302492
2.03966,0.0819835,-1.22052e-17,0.302492
1.98035,0.0707658,-3.75872e-19,0.302501
1.97738,0.0702049,2.10851e-18,0.302501
1.97442,0.069644,2.77556e-18,0.302501
1.97145,0.0690832,-8.93673e-27,0.302501
1.96849,0.0685223,6.93889e-19,0.302501
1.96552,0.0679614,6.93889e-19,0.302501
1.96255,0.0674005,-1.49167e-18,0.302513
1.95959,0.0668396,-1.78675e-18,0.302513
1.95662,0.0662787,-1.38794e-18,0.302513
1.95366,0.0657178,1.78642e-18,0.302513
1.95069,0.0651569,-2.65372e-20,0.302513
1.94773,0.0645961,-1.38778e-18,0.302513
1.94476,0.0640352,3.46945e-18,0.302513
1.9418,0.0634743,2.08167e-18,0.302513
1.93883,0.0629134,4.16334e-18,0.302513
1.93587,0.0623525,2.77556e-18,0.302513
1.9329,0.0617916,3.19673e-18,0.302528
1.92994,0.0612307,5.684e-18,0.302528
1.92697,0.0606699,6.43654e-18,0.302528
1.924,0.060109,7.18907e-18,0.302528
1.92104,0.0595481,7.63278e-18,0.302528
1.91807,0.0589872,6.245e-18,0.302528
1.91511,0.0584263,6.93889e-18,0.302528
1.91214,0.0578654,4.16334e-18,0.302528
1.90918,0.0573045,4.85723e-18,0.302528
1.90621,0.0567436,1.17064e-17,0.302519
1.90325,0.0561828,1.0037e-17,0.302519
1.90028,0.0556219,1.1837e-17,0.302519
1.89732,0.055061,6.69808e-18,0.302519
1.89435,0.0545001,7.63072e-18,0.302519
1.89139,0.0539392,8.32667e-18,0.302519
1.88842,0.0533783,5.55112e-18,0.302519
1.88545,0.0528174,9.71445e-18,0.302519
1.88249,0.0522566,8.32667e-18,0.302519
1.81725,0.0399171,6.79361e-19,0.302514
1.48216,-0.0234631,3.0035e-18,0.302494
1.47919,-0.024024,6.60181e-18,0.302494
