x,y,z,p
-3,0,0,1.02799
-3,0,0,1.02794
-2.997,0.0003003,-6.93889e-19,1.02794
-2.99399,0.000600601,-1.39071e-18,1.07217
-2.99099,0.000900901,-1.38778e-18,1.07217
-2.98198,0.0018018,-2.77556e-18,1.16664
-2.97898,0.0021021,7.08022e-18,1.21426
-2.97598,0.0024024,6.93889e-18,1.21426
-2.97297,0.0027027,6.07874e-18,1.26169
-2.96396,0.0036036,4.85723e-18,1.30774
-2.96096,0.0039039,6.1787e-18,1.3544
-2.95495,0.0045045,-6.08748e-18,1.40023
-2.95195,0.0048048,-9.71445e-18,1.40023
-2.94895,0.00510511,-6.30355e-18,1.4427
-2.93994,0.00600601,4.16334e-18,1.48465
-2.93694,0.00630631,6.06442e-18,1.52762
-2.93393,0.00660661,6.93889e-19,1.52762
-2.93093,0.00690691,6.67026e-18,1.56155
-2.92793,0.00720721,2.77556e-18,1.56155
-2.92492,0.00750751,1.28905e-17,1.59575
-2.92192,0.00780781,2.01228e-17,1.59575
-2.90691,0.00930931,-1.38778e-18,1.65548
-2.9039,0.00960961,-3.54979e-18,1.67491
-2.9009,0.00990991,-3.95146e-18,1.67491
-2.88288,0.0117117,4.16334e-18,1.71386
-2.87988,0.012012,-9.40762e-19,1.71508
-2.87688,0.0123123,-1.51091e-18,1.71508
-2.87387,0.0126126,-7.13454e-27,1.71508
-2.87087,0.0129129,-2.5506e-18,1.71452
-2.86787,0.0132132,-2.77556e-18,1.71452
-2.86486,0.0135135,-4.0262e-27,1.71452
-2.86186,0.0138138,-2.68226e-18,1.71263
-2.85886,0.0141141,-5.55112e-18,1.71263
-2.85586,0.0144144,-4.16334e-18,1.71263
-2.85285,0.0147147,-5.15715e-18,1.70008
-2.84985,0.015015,-2.77556e-18,1.70008
-2.84685,0.0153153,-5.55112e-18,1.70008
-2.84384,0.0156156,-4.08199e-18,1.67601
-2.84084,0.0159159,-9.71445e-18,1.67601
-2.83784,0.0162162,-4.85723e-18,1.67601
-2.83483,0.0165165,-1.1961e-18,1.6506
-2.83183,0.0168168,-2.77937e-18,1.6506
-2.82883,0.0171171,-3.46945e-18,1.6506
-2.82583,0.0174174,-3.78973e-18,1.62503
-2.82282,0.0177177,-1.68347e-18,1.62503
-2.81982,0.018018,2.08167e-18,1.62503
-2.81682,0.0183183,7.56184e-18,1.59847
-2.81381,0.0186186,6.74328e-18,1.59847
-2.81081,0.0189189,5.55112e-18,1.59847
-2.80781,0.0192192,4.85723e-18,1.59847
-2.8048,0.0195195,9.16118e-18,1.57205
-2.8018,0.0198198,6.78319e-18,1.57205
-2.7988,0.0201201,9.02056e-18,1.57205
-2.7958,0.0204204,6.08682e-18,1.55375
-2.79279,0.0207207,7.04933e-18,1.55375
-2.78979,0.021021,5.55112e-18,1.55375
-2.78679,0.0213213,4.85723e-18,1.55375
-2.78378,0.0216216,5.09318e-18,1.54149
-2.78078,0.0219219,9.7208e-18,1.54149
-2.76577,0.0234234,-1.46303e-27,1.53326
-2.76276,0.0237237,2.70487e-18,1.52808
-2.75976,0.024024,-1.12519e-18,1.52808
-2.75676,0.0243243,-4.85723e-18,1.52808
