x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.08245e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.44331e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.21356e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.80575e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49903e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.11073e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.07531e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.45435e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75963e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.45332e-16,0
-2.46817,-0.881573,1.077e-17,3,1.33471e-16,0
-2.46817,-0.775969,1.077e-17,3,4.35876e-17,0
-2.46817,-0.674554,1.2071e-17,3,6.91226e-17,0
-2.46817,-0.577164,1.29384e-17,3,4.12659e-18,0
-2.46817,-0.483637,1.12037e-17,3,-8.62464e-17,0
-2.46817,-0.393821,1.12037e-17,3,-1.02275e-16,0
-2.46817,-0.307568,1.12037e-17,3,-7.66697e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.62846e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98831e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.30746e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82642e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.06261e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.14321e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.99494e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.01229e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.63449e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.38154e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.28229e-16,0
-2.46817,0.495785,6.43317e-18,3,-1.52545e-16,0
-2.46817,0.546744,5.13213e-18,3,1.4895e-16,0
-2.46817,0.59568,2.79026e-18,3,3.65708e-16,0
-2.46817,0.642675,2.44331e-18,3,4.96669e-16,0
-2.46817,0.687805,3.1372e-18,3,4.78552e-16,0
-2.46817,0.731145,3.83109e-18,3,2.7367e-16,0
-2.46817,0.772765,5.65255e-18,3,9.4197e-18,0
-2.46817,0.812735,6.08623e-18,3,-4.28177e-16,0
-2.46817,0.851118,5.39234e-18,3,-5.38545e-16,0
-2.46817,0.887978,4.69845e-18,3,-2.87284e-16,0
-2.46817,0.923377,5.3056e-18,3,-3.38683e-16,0
-2.46817,0.95737,4.16334e-18,3,3.55857e-15,0
-2.46817,0.990015,2.53005e-18,3,5.069e-10,0
-2.46817,1.02137,1.83616e-18,2.99962,-0.000397804,0
-2.46817,1.05147,-8.52664e-19,2.09108,-0.434257,0
-2.46817,1.08038,-8.52664e-19,1.13394,-0.771853,0
-2.46817,1.10815,-2.06697e-18,1.11191,-0.753429,0
-2.46817,1.13481,-3.97517e-18,1.09754,-0.744998,0
-2.46817,1.16042,-2.67412e-18,1.08461,-0.737595,0
-2.46817,1.18501,-3.97517e-18,1.06972,-0.726952,0
-2.46817,1.20862,-5.27621e-18,1.05319,-0.714759,0
-2.46817,1.2313,-3.28128e-18,1.03679,-0.706426,0
-2.46817,1.25307,-3.88843e-18,1.02216,-0.696213,0
-2.46817,1.27399,-6.23031e-18,1.00406,-0.688635,0
-2.46817,1.29407,-5.53642e-18,0.986476,-0.673243,0
-2.46817,1.31336,-3.1078e-18,0.958165,-0.659851,0
-2.46817,1.33188,-1.37308e-18,0.927519,-0.632974,0
-2.46817,1.34966,-9.394e-19,0.889378,-0.616787,0
-2.46817,1.36675,-8.52664e-19,0.868296,-0.59852,0
-2.46817,1.38315,-1.58774e-19,0.853879,-0.605438,0
-2.46817,1.3989,4.33681e-19,0.856121,-0.60171,0
-2.46817,1.44612,-3.46945e-18,2.51349,-1.07594,0
-2.46817,1.45582,-1.73472e-18,2.53041,-1.02441,0
-2.46817,1.46592,0,2.63913,-1.16414,0
