x,y,z,U_0,U_1,U_2
-2.46817,-2.72516,8.65892e-18,3,2.62422e-16,0
-2.46817,-2.54642,1.00467e-17,3,1.50301e-16,0
-2.46817,-2.37476,9.00586e-18,3,-1.58282e-17,0
-2.46817,-2.20992,9.35281e-18,3,1.71018e-17,0
-2.46817,-2.05161,9.35281e-18,3,-1.62314e-16,0
-2.46817,-1.89959,7.96503e-18,3,-1.49988e-16,0
-2.46817,-1.75359,6.43317e-18,3,-6.56224e-17,0
-2.46817,-1.61339,4.78519e-18,3,-1.11145e-16,0
-2.46817,-1.47875,1.14227e-18,3,-1.07402e-16,0
-2.46817,-1.34946,2.26984e-18,3,2.4663e-17,0
-2.46817,-1.22529,4.69845e-18,3,1.37711e-17,0
-2.46817,-1.10605,7.04033e-18,3,-1.75963e-16,0
-2.46817,-0.991539,1.00761e-17,3,-1.46367e-16,0
-2.46817,-0.881573,1.077e-17,3,1.3268e-16,0
-2.46817,-0.775969,1.077e-17,3,4.32103e-17,0
-2.46817,-0.674554,1.2071e-17,3,7.59265e-17,0
-2.46817,-0.577164,1.29384e-17,3,-3.38312e-17,0
-2.46817,-0.483637,1.12037e-17,3,-1.21285e-16,0
-2.46817,-0.393821,1.12037e-17,3,-1.04222e-16,0
-2.46817,-0.307568,1.12037e-17,3,-7.75374e-17,0
-2.46817,-0.224738,7.56075e-18,3,1.60599e-16,0
-2.46817,-0.145193,8.94852e-18,3,1.98819e-16,0
-2.46817,-0.0688046,1.13771e-17,3,3.30737e-16,0
-2.46817,0.00455329,1.14492e-17,3,3.82466e-16,0
-2.46817,0.0750007,2.87699e-18,3,3.05894e-16,0
-2.46817,0.142653,5.56581e-18,3,-1.21426e-16,0
-2.46817,0.207622,6.2597e-18,3,-3.96751e-16,0
-2.46817,0.270013,4.95866e-18,3,-4.01346e-16,0
-2.46817,0.329928,3.65762e-18,3,-3.62844e-16,0
-2.46817,0.387466,4.35151e-18,3,-2.36909e-16,0
-2.46817,0.442722,5.73929e-18,3,-1.65584e-16,0
-2.46817,0.495785,6.43317e-18,3,-2.58934e-16,0
-2.46817,0.546744,5.13213e-18,3,7.214e-17,0
-2.46817,0.59568,2.79026e-18,3,3.2084e-16,0
-2.46817,0.642675,2.44331e-18,3,4.87257e-16,0
-2.46817,0.687805,3.1372e-18,3,4.7434e-16,0
-2.46817,0.731145,3.83109e-18,3,2.7367e-16,0
-2.46817,0.772765,5.65255e-18,3,9.45282e-18,0
-2.46817,0.812735,6.08623e-18,3,-4.28119e-16,0
-2.46817,0.851118,5.39234e-18,3,-5.38545e-16,0
-2.46817,0.887978,4.69845e-18,3,-2.88317e-16,0
-2.46817,0.923377,5.3056e-18,3,-3.41049e-16,0
-2.46817,0.95737,4.16334e-18,3,-2.75372e-16,0
-2.46817,0.990015,2.53005e-18,3,-2.98614e-16,0
-2.46817,1.02137,1.83616e-18,3,4.11386e-16,0
-2.46817,1.05147,-8.52664e-19,3,-8.06236e-12,0
-2.46817,1.08038,-8.52664e-19,2.72076,-0.105516,0
-2.46817,1.10815,-2.06697e-18,1.31714,-0.66373,0
-2.46817,1.13481,-3.97517e-18,1.1525,-0.790277,0
-2.46817,1.16042,-2.67412e-18,1.13963,-0.784305,0
-2.46817,1.18501,-3.97517e-18,1.12649,-0.77376,0
-2.46817,1.20862,-5.27621e-18,1.1153,-0.765358,0
-2.46817,1.2313,-3.28128e-18,1.10249,-0.758455,0
-2.46817,1.25307,-3.88843e-18,1.08828,-0.747877,0
-2.46817,1.27399,-6.23031e-18,1.06825,-0.737428,0
-2.46817,1.29407,-5.53642e-18,1.04532,-0.720652,0
-2.46817,1.31336,-3.1078e-18,1.0138,-0.704882,0
-2.46817,1.33188,-1.37308e-18,0.981784,-0.678156,0
-2.46817,1.34966,-9.394e-19,0.946049,-0.661856,0
