x,y,z,p
0.0179103,-0.299179,-2.08167e-18,1.18544
0.0088604,-0.298909,1.20196e-18,1.18545
-0.00923942,-0.298368,1.61883e-18,1.18545
-0.0122561,-0.298278,4.16334e-18,1.18545
-0.078622,-0.296296,-9.75927e-19,1.18544
-0.0816387,-0.296206,2.08167e-18,1.18544
-0.0997385,-0.295666,-2.77556e-18,1.18543
-0.102755,-0.295576,2.41209e-18,1.18543
-0.105772,-0.295485,4.85723e-18,1.18543
-0.108788,-0.295395,8.59969e-18,1.18542
-0.111805,-0.295305,1.11022e-17,1.18542
-0.114822,-0.295215,1.58775e-17,1.18541
-0.117838,-0.295125,1.48598e-17,1.18541
-0.138955,-0.294494,7.20326e-19,1.18537
-0.141971,-0.294404,3.46945e-18,1.18537
-0.144988,-0.294314,5.79485e-18,1.18537
-0.175154,-0.293413,-2.08167e-18,1.18538
-0.178171,-0.293323,-3.23902e-18,1.18538
-0.187221,-0.293053,4.74581e-18,1.18539
-0.190238,-0.292963,-4.3211e-27,1.18539
-0.193254,-0.292873,1.94906e-18,1.1854
-0.196271,-0.292783,-3.82752e-19,1.1854
-0.199287,-0.292693,4.16334e-18,1.1854
-0.202304,-0.292603,1.20297e-18,1.18543
-0.205321,-0.292512,1.148e-18,1.18543
-0.208337,-0.292422,-1.38778e-18,1.18543
-0.211354,-0.292332,-8.6609e-19,1.18545
-0.214371,-0.292242,-2.11416e-18,1.18545
-0.217387,-0.292152,6.93889e-19,1.18545
-0.220404,-0.292062,4.06561e-18,1.18548
-0.223421,-0.291972,1.277e-18,1.18548
-0.226437,-0.291882,-3.46945e-18,1.18548
-0.229454,-0.291792,1.38778e-18,1.18548
-0.23247,-0.291702,2.99197e-18,1.1855
-0.247554,-0.291251,-4.85723e-18,1.18553
-0.25057,-0.291161,-6.59726e-18,1.18556
-0.253587,-0.291071,-6.20403e-18,1.18556
-0.262637,-0.290801,2.62825e-18,1.18558
-0.265653,-0.290711,3.46945e-18,1.18558
-0.26867,-0.290621,2.77556e-18,1.18558
